Issue Type,Summary,Description,Epic Name,Epic Link,Owner,Sprint,Priority,Labels
Epic,Program Governance and Architecture,"Cross-track governance, architecture decisions, and release readiness coordination.",WOW-EPIC-Program,,Technical Lead,Sprint 1,Highest,"program,architecture,governance"
Epic,Track A Backend Platform and Service Hardening,"Backend service hardening and production readiness.",WOW-EPIC-Backend-Platform,,Backend Lead,Sprint 1,Highest,"backend,platform,security"
Epic,Track B Data Layer and Database Readiness,"PostgreSQL, MongoDB, Redis model readiness and operations.",WOW-EPIC-Data-Layer,,Data Lead,Sprint 1,Highest,"data,postgres,mongodb,redis"
Epic,Track C Core Feature Completion,"Complete major pending product features and integrations.",WOW-EPIC-Core-Features,,Backend Lead,Sprint 4,High,"features,payments,notifications,admin"
Epic,Track D Frontend Web Completion,"Finish production-grade web integration and UX quality.",WOW-EPIC-Frontend-Web,,Frontend Lead,Sprint 2,High,"frontend,web,ux"
Epic,Track E Mobile Application Delivery,"Build and ship mobile app v1 using shared APIs.",WOW-EPIC-Mobile-App,,Mobile Lead,Sprint 2,High,"mobile,react-native,app"
Epic,Track F DevOps Security and Environment Management,"Build CI/CD, environments, observability, and operational controls.",WOW-EPIC-DevOps,,DevOps Lead,Sprint 1,Highest,"devops,cicd,security,ops"
Epic,Track G QA and Release Readiness,"Quality strategy, automation, regression, and release gates.",WOW-EPIC-QA-Release,,QA Lead,Sprint 3,High,"qa,testing,release"
Story,Freeze API contract v1 for web and mobile,"Publish stable OpenAPI contract and change-control process.",,WOW-EPIC-Program,Technical Lead,Sprint 1,Highest,"api,contract"
Story,Define Definition of Done for all modules,"Standardize acceptance criteria: code review, tests, docs, observability, QA sign-off.",,WOW-EPIC-Program,Product PM,Sprint 1,High,"process,dod"
Story,Create Jira board and epics from execution plan,"Initialize project board and workflow columns for all tracks.",,WOW-EPIC-Program,Product PM,Sprint 1,Medium,"jira,planning"
Story,Finalize architecture and ownership matrix,"Confirm owners for backend data frontend mobile devops qa and product.",,WOW-EPIC-Program,Technical Lead,Sprint 1,High,"ownership,architecture"
Story,Prepare release criteria and sign-off template,"Define go/no-go checklist and approvers for release candidate.",,WOW-EPIC-Program,Product PM,Sprint 6,Medium,"release,governance"
Story,Replace SQLite with env-driven PostgreSQL config,"Use env-aware TypeORM settings and production-safe defaults.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,Highest,"backend,postgres,config"
Story,Implement TypeORM migration strategy,"Add migration generation and execution flow and baseline migration set.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,Highest,"typeorm,migrations"
Story,Disable synchronize outside local development,"Prevent destructive schema sync in dev/staging/prod.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,Highest,"typeorm,safety"
Story,Add environment profile validation,"Introduce local dev staging prod profiles with strict env schema validation.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 1,High,"config,validation"
Story,Introduce structured logging and tracing,"Add request correlation IDs and structured logs for all API requests.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 2,High,"observability,logging"
Story,Standardize global error contract and API versioning,"Define common error response shape and v1 versioning strategy.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 2,High,"api,errors,versioning"
Story,Implement API rate limiting and hardening,"Add throttling brute-force protection and security headers.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 2,High,"security,rate-limit"
Story,Add queue processor for async workflows,"Use queue-backed jobs for notifications and heavy processing.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 3,High,"queue,background-jobs"
Story,Build media upload service with signed URLs,"Create object storage integration and upload API contracts.",,WOW-EPIC-Backend-Platform,Backend Lead,Sprint 3,Medium,"media,storage,s3"
Story,Perform end-to-end data model review,"Review schema boundaries for auth matchmaking planner bookings events finance.",,WOW-EPIC-Data-Layer,Data Lead,Sprint 1,Highest,"data-model,postgres"
Story,Design MongoDB chat indexing strategy,"Define indexes for conversations messages unread and read tracking.",,WOW-EPIC-Data-Layer,Data Lead,Sprint 2,High,"mongodb,chat,indexing"
Story,Define Redis key patterns and TTL policy,"Document cache key conventions invalidation rules and TTL matrix.",,WOW-EPIC-Data-Layer,Data Lead,Sprint 2,High,"redis,caching"
Story,Create non-production seed scripts,"Automate seed data generation for local and staging environments.",,WOW-EPIC-Data-Layer,Data Lead,Sprint 2,Medium,"seed-data,devexp"
Story,Write backup restore and retention runbooks,"Define disaster recovery process and retention policy per datastore.",,WOW-EPIC-Data-Layer,Data Lead,Sprint 3,High,"backup,runbook,dr"
Story,Tune critical query and index performance,"Profile and optimize search chat vendors and planner timeline queries.",,WOW-EPIC-Data-Layer,Data Lead,Sprint 3,Medium,"performance,index"
Story,Implement notifications provider adapters,"Integrate FCM APNs email and SMS providers via adapter interfaces.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 4,High,"notifications,integrations"
Story,Integrate payments and escrow workflow,"Implement payment initiate confirm release and refund with provider.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 4,Highest,"payments,escrow"
Story,Build admin moderation and dispute workflows,"Create user vendor moderation and reporting baseline screens and APIs.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 5,High,"admin,moderation"
Story,Develop media and memories module,"Implement upload gallery moderation and retrieval flows.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 5,Medium,"media,memories"
Story,Deliver AI recommendations phase 1,"Add recommendation scoring and explainability fields for matches and vendors.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 5,Medium,"ai,recommendations"
Story,Harden recover password and account security,"Complete OTP email verification session management and device revocation.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 4,High,"auth,security"
Story,Validate role-based access across all roles,"Audit and test role permissions for user vendor admin planner paths.",,WOW-EPIC-Core-Features,Backend Lead,Sprint 5,High,"rbac,authorization"
Story,Complete production API integration for all pages,"Ensure all web pages use backend APIs and remove placeholder behavior.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 2,High,"frontend,api-integration"
Story,Implement consistent loading error empty states,"Add resilient UX handling for all async page states.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 2,Medium,"frontend,ux"
Story,Standardize forms and field validation UX,"Harmonize validation messages input states and submit behavior.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 3,Medium,"frontend,forms"
Story,Stabilize auth guards and token refresh edge cases,"Handle expired tokens race conditions and redirect consistency.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 3,High,"frontend,auth"
Story,Implement accessibility baseline,"Add keyboard navigation semantic labels and contrast fixes.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 4,Medium,"a11y,frontend"
Story,Optimize performance and bundle strategy,"Apply route splitting lazy loading and image optimization.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 4,Medium,"performance,frontend"
Story,Build admin console web screens,"Deliver initial admin interface for moderation and reporting.",,WOW-EPIC-Frontend-Web,Frontend Lead,Sprint 5,Medium,"frontend,admin"
Story,Initialize React Native Expo project,"Create mobile repo structure navigation theme and environment setup.",,WOW-EPIC-Mobile-App,Mobile Lead,Sprint 2,High,"mobile,expo"
Story,Implement mobile auth and secure token storage,"Support register login refresh and secure local credential storage.",,WOW-EPIC-Mobile-App,Mobile Lead,Sprint 2,Highest,"mobile,auth"
Story,Develop mobile core screens v1,"Build dashboard matches chat vendors planner profile screens.",,WOW-EPIC-Mobile-App,Mobile Lead,Sprint 3,High,"mobile,screens"
Story,Integrate mobile push notifications,"Wire backend events to FCM/APNs push delivery in app.",,WOW-EPIC-Mobile-App,Mobile Lead,Sprint 4,High,"mobile,push"
Story,Add offline read support and write queue retries,"Support offline-first reads and queued mutation retries.",,WOW-EPIC-Mobile-App,Mobile Lead,Sprint 5,Medium,"mobile,offline"
Story,Prepare Android release and QA matrix,"Run device compatibility matrix and produce release build checklist.",,WOW-EPIC-Mobile-App,Mobile Lead,Sprint 5,Medium,"mobile,android,release"
Story,Set up CI pipelines for backend and frontend,"Automate lint test build migration checks and vulnerability scans.",,WOW-EPIC-DevOps,DevOps Lead,Sprint 1,Highest,"cicd,security"
Story,Set up CD pipelines for separate services,"Implement independent deployment workflows for backend and frontend.",,WOW-EPIC-DevOps,DevOps Lead,Sprint 2,High,"cd,deployment"
Story,Provision dev staging prod environments,"Create infra, secret management, config maps and service credentials.",,WOW-EPIC-DevOps,DevOps Lead,Sprint 2,Highest,"environments,secrets"
Story,Enable observability stack and alerting,"Implement logs metrics dashboards alerts and uptime checks.",,WOW-EPIC-DevOps,DevOps Lead,Sprint 3,High,"observability,monitoring"
Story,Configure gateway domain TLS and CORS policies,"Harden ingress and environment-level API access controls.",,WOW-EPIC-DevOps,DevOps Lead,Sprint 3,High,"networking,tls,cors"
Story,Implement cost and scaling guardrails,"Set autoscaling budgets and usage alerts.",,WOW-EPIC-DevOps,DevOps Lead,Sprint 6,Medium,"cost,scaling"
Story,Define test strategy across web API and mobile,"Document unit integration contract E2E and smoke scope.",,WOW-EPIC-QA-Release,QA Lead,Sprint 3,High,"qa,strategy"
Story,Automate regression suite for critical journeys,"Cover auth profile matching chat planner and payment flows.",,WOW-EPIC-QA-Release,QA Lead,Sprint 4,High,"qa,regression,e2e"
Story,Create test data and environment reset tooling,"Provide deterministic fixtures and reset automation for staging.",,WOW-EPIC-QA-Release,QA Lead,Sprint 4,Medium,"qa,test-data"
Story,Prepare UAT checklist and sign-off workflow,"Execute UAT and formal release readiness tracking.",,WOW-EPIC-QA-Release,QA Lead,Sprint 6,Medium,"uat,release"
Story,Execute bug bash and stabilization cycle,"Run cross-team defect triage and closure before release candidate.",,WOW-EPIC-QA-Release,QA Lead,Sprint 7,High,"stabilization,bug-bash"
Story,Run launch readiness and hypercare validation,"Verify production monitoring and incident response playbook.",,WOW-EPIC-QA-Release,QA Lead,Sprint 8,High,"launch,hypercare"